id,domain,name,tier,scan_method,description
1,Auth & Infrastructure,Supabase URL is real value,alpha,"grep_env:NEXT_PUBLIC_SUPABASE_URL","Check .env* files for NEXT_PUBLIC_SUPABASE_URL — must exist and not be a placeholder (e.g. your-project-url-here)"
2,Auth & Infrastructure,Supabase anon key is real value,alpha,"grep_env:NEXT_PUBLIC_SUPABASE_ANON_KEY","Check .env* files for NEXT_PUBLIC_SUPABASE_ANON_KEY — must exist and not be a placeholder"
3,Auth & Infrastructure,Protected routes configured,alpha,"grep_file:src/proxy.ts:protectedPaths","Verify protectedPaths array exists in src/proxy.ts and contains route entries"
4,Auth & Infrastructure,DATABASE_URL points to real Postgres,alpha,"grep_env:DATABASE_URL","Check DATABASE_URL is set and does not contain 'pglite' or 'localhost' placeholder patterns"
5,Auth & Infrastructure,Migration files exist,alpha,"glob:migrations/**/*.sql OR src/migrations/**/*.sql OR drizzle/**/*.sql","Check that at least one SQL migration file exists"
6,Auth & Infrastructure,App builds successfully,alpha,"command:pnpm build","Run pnpm build and check exit code (0 = PASS)"
7,Auth & Infrastructure,Deployment configured,alpha,"glob:vercel.json OR check_framework_detection","Check for vercel.json or Vercel framework detection (Next.js auto-detected)"
8,Security,No API keys in client code,alpha,"grep_source:DIFY_API_KEY|SUPABASE_SERVICE_ROLE_KEY|RESEND_API_KEY","Scan src/ for server-only env vars that should never appear in client code"
9,Observability,Sentry DSN configured,alpha,"grep_env:SENTRY_DSN OR grep_config:sentry.*.config.ts","Check for SENTRY_DSN in env or Sentry config files with DSN value"
10,i18n,Default locale and middleware configured,alpha,"glob:src/utils/AppConfig.ts AND (src/proxy.ts OR src/middleware.ts)","Verify next-intl config exists with default locale and middleware/proxy entrypoint is present"
11,Content,README is not template defaults,alpha,"read_file:README.md","Check if README.md has been customized (differs from template default title/description)"
12,SEO,Site URL configured,full,"grep_env:NEXT_PUBLIC_SITE_URL","Check NEXT_PUBLIC_SITE_URL is set in env (required for sitemap, hreflang, OG)"
13,SEO,Sitemap configured,full,"glob:src/app/sitemap.ts","Verify sitemap.ts exists and contains publicRoutes array"
14,SEO,Robots.txt configured,full,"glob:src/app/robots.ts","Verify robots.ts exists with rules configuration"
15,SEO,OG images and meta tags present,full,"glob:public/og-image.png AND grep_source:generateMetadata|generateSocialMetadata","Check for default OG image and metadata generation in pages"
16,Email,Resend API key configured,full,"grep_env:RESEND_API_KEY","Check RESEND_API_KEY exists in .env* files"
17,Email,From address customized,full,"grep_env:EMAIL_FROM_ADDRESS","Check EMAIL_FROM_ADDRESS is set and not the default noreply@example.com"
18,Email,Email templates exist,full,"glob:src/libs/email/templates/*.tsx","Check at least one email template file exists"
19,Legal,Privacy policy page exists,full,"glob:src/app/**/privacy*/**/*.tsx OR src/app/**/privacy*.tsx","Scan for a privacy policy page in the app directory"
20,Legal,Terms of service page exists,full,"glob:src/app/**/terms*/**/*.tsx OR src/app/**/terms*.tsx","Scan for a terms of service page in the app directory"
21,Performance,Bundle size acceptable,full,"command:analyze_build_output","Check .next build output for oversized chunks (warn if any chunk > 500KB)"
22,UX,Viewport meta tag present,full,"grep_file:src/app/[locale]/layout.tsx:viewport","Check root layout has viewport meta configuration"
23,UX,Onboarding flow exists,full,"glob:src/app/**/onboarding/**/*.tsx","Verify onboarding page/flow exists and is reachable"
24,SEO,Hreflang tags for all locales,polish,"grep_source:alternates|hreflang","Check that hreflang alternate links are configured for all locales"
25,Email,Sender domain not default,polish,"grep_env:EMAIL_FROM_ADDRESS","Check EMAIL_FROM_ADDRESS uses a custom domain (not resend.dev or example.com)"
26,i18n,All locale files exist,polish,"glob:src/locales/{locale}/*.json","Check locale directories exist for all configured locales (en, hi, bn)"
27,i18n,No missing translation keys,polish,"compare_locale_keys","Compare JSON keys across all locale files — flag any keys present in default but missing in others"
28,Accessibility,Image alt tags present,polish,"grep_source:<img|<Image","Scan JSX/TSX for img/Image tags and check for alt prop presence"
29,CI/CD,Pipeline config exists,polish,"glob:.github/workflows/*.yml OR .github/workflows/*.yaml","Check for GitHub Actions workflow files"
30,E2E,Test files exist,polish,"glob:tests/**/*.spec.ts OR tests/**/*.e2e.ts","Check for Playwright test files in tests/ directory"
31,E2E,Playwright config present,polish,"glob:playwright.config.ts","Check for Playwright configuration file"
32,Performance,Images use next/image,polish,"grep_source:from 'next/image'|from \"next/image\"","Check that components import and use next/image for optimization"
33,Content,Help or FAQ page exists,polish,"glob:src/app/**/help*/**/*.tsx OR src/app/**/faq*/**/*.tsx","Scan for help or FAQ page in app directory"
34,Security,CSP headers configured,polish,"grep_source:Content-Security-Policy|contentSecurityPolicy","Check for CSP header configuration in middleware or next.config"
35,Analytics,Tracking configured,polish,"grep_source:analytics|gtag|posthog|mixpanel|plausible","Scan for analytics integration (any common provider)"
36,Platform,main branch protected on GitHub,full,"gh_api:branches/main/protection","Run gh api repos/{owner}/{repo}/branches/main/protection. PASS if it returns a protection object (has required_status_checks or required_pull_request_reviews). FAIL if it returns 404 (main is unprotected — direct pushes possible). WARN if gh is not installed or not authenticated."
37,Platform,CI passing on main,full,"gh_cli:ci-status-main","Check the latest CI outcome on main. Prefer: gh api repos/{owner}/{repo}/commits/main/check-runs --jq '[.check_runs[].conclusion]' — PASS if every conclusion is success/skipped/neutral, FAIL if any is failure/cancelled/timed_out. Fallback: gh run list --branch main --limit 20. WARN if gh unavailable or no runs exist yet."
38,Platform,Auto-delete branch on merge enabled,polish,"gh_api:delete_branch_on_merge","Run gh api repos/{owner}/{repo} --jq .delete_branch_on_merge. PASS if true, FAIL if false. WARN if gh unavailable."
39,Platform,Squash-only merge configured,polish,"gh_api:merge-flags","Run gh api repos/{owner}/{repo} --jq '{s:.allow_squash_merge,m:.allow_merge_commit,r:.allow_rebase_merge}'. PASS if allow_squash_merge=true AND allow_merge_commit=false AND allow_rebase_merge=false. Otherwise FAIL (merge/rebase-merge muddy the linear history semantic-release reads). WARN if gh unavailable."
40,Platform,Required CI secrets present,full,"gh_cli:secret-list","Derive required secret names from .github/workflows/*.yml ${{ secrets.* }} references, excluding GITHUB_TOKEN and secrets for removed features. Run gh secret list. PASS if every required secret is present, FAIL listing any missing. WARN if gh unavailable."
41,Platform,RUN_PROD_MIGRATIONS enabled in production,alpha,"vercel_env:RUN_PROD_MIGRATIONS:production","Verify RUN_PROD_MIGRATIONS=true exists in the PRODUCTION environment. Use the Vercel MCP if available, else run vercel env ls production. Without it, prod builds SKIP migrations (see .claude/rules/database.md). PASS if set to true, FAIL if missing or false, WARN if Vercel is not linked/available."
42,Platform,Production env parity with local secrets,full,"vercel_env:parity","For each server-side secret configured locally (DATABASE_URL, SUPABASE_SERVICE_ROLE_KEY, plus RESEND_API_KEY / DIFY_* / SENTRY_* if those features are in use), confirm the same key exists in the Vercel PRODUCTION environment. PASS if all present, FAIL listing any missing, WARN if Vercel not linked/available. Never print secret VALUES."
43,Security,Supabase security advisors clean,alpha,"supabase_advisor:security","Use the Supabase MCP get_advisors(type=security) for the linked project. PASS if there are no ERROR-level advisories (e.g. RLS disabled on a public table, security-definer/exposed views). FAIL listing any ERROR-level findings. WARN if the Supabase MCP is not connected."
